Month,ProductID,MarketID,ForecastQty,ActualDemandQty,OpeningInventoryQty,ReceiptsQty,BlockedInventoryQty,ClosingInventoryQty,ExpiryInMonths,Scenario
2026-08-01,P05,M05,62,63,250,65,0,252,18,Normal operations
2026-08-01,P08,M02,372,326,1514,425,0,1613,18,Normal operations
2026-08-01,P10,M04,180,179,837,239,0,897,8,Normal operations
2026-08-01,P13,M01,104,101,285,117,0,301,11,Normal operations
2026-08-01,P15,M03,93,100,348,94,0,342,11,Normal operations
2026-08-01,P17,M05,56,56,182,59,0,185,11,Normal operations
2026-08-01,P20,M02,380,390,743,432,0,785,8,Normal operations
2026-08-01,P22,M04,155,171,800,193,0,822,11,Normal operations
2026-09-01,P15,M05,66,19,257,67,43,262,4,Slow movement and near expiry
2026-09-01,P03,M03,101,104,342,109,0,347,11,Normal operations
2026-09-01,P05,M05,57,66,252,72,0,258,11,Normal operations
2026-09-01,P08,M02,340,311,1613,506,0,1808,14,Normal operations
2026-09-01,P10,M04,191,189,897,204,0,912,8,Normal operations
2026-09-01,P13,M01,100,99,301,113,0,315,18,Normal operations
2026-09-01,P15,M03,91,93,342,111,0,360,11,Normal operations
2026-09-01,P17,M05,58,55,185,72,0,202,5,Normal operations
2026-09-01,P20,M02,324,342,785,351,0,794,8,Normal operations
2026-09-01,P22,M04,190,199,822,210,0,833,22,Normal operations
2026-10-01,P01,M01,119,149,245,0,0,96,8,Supplier delay — projected stock-out
2026-10-01,P03,M03,102,110,347,109,0,346,5,Normal operations
2026-10-01,P05,M05,64,61,258,90,0,287,18,Normal operations
2026-10-01,P08,M02,301,288,1808,358,0,1878,22,Normal operations
2026-10-01,P10,M04,191,218,912,215,0,909,8,Normal operations
2026-10-01,P13,M01,107,110,315,108,0,313,8,Normal operations
2026-10-01,P15,M03,92,99,360,76,0,337,14,Normal operations
2026-10-01,P17,M05,69,63,202,62,0,201,5,Normal operations
2026-10-01,P20,M02,333,327,794,456,0,923,18,Normal operations
2026-10-01,P22,M04,205,218,833,219,0,834,18,Normal operations
2026-11-01,P01,M01,119,149,96,0,0,0,22,Supplier delay — projected stock-out
2026-11-01,P03,M03,93,99,346,101,0,348,22,Normal operations
2026-11-01,P05,M05,76,71,287,65,0,281,22,Normal operations
2026-11-01,P08,M02,343,305,1878,398,0,1971,11,Normal operations
2026-11-01,P10,M04,221,200,909,167,0,876,11,Normal operations
2026-11-01,P13,M01,117,114,313,100,0,299,22,Normal operations
2026-11-01,P15,M03,103,99,337,81,0,319,5,Normal operations
2026-11-01,P17,M05,70,63,201,88,0,226,18,Normal operations
2026-11-01,P20,M02,333,354,923,493,0,1062,5,Normal operations
2026-11-01,P22,M04,219,217,834,157,0,774,18,Normal operations
2026-12-01,P01,M01,140,149,0,0,0,0,11,Supplier delay — projected stock-out
2026-12-01,P03,M03,101,96,348,83,0,335,18,Normal operations
2026-12-01,P05,M05,79,82,281,88,0,287,5,Normal operations
2026-12-01,P08,M02,336,360,1971,318,0,1929,22,Normal operations
2026-12-01,P10,M04,198,235,876,234,0,875,11,Normal operations
2026-12-01,P13,M01,132,139,299,120,0,280,8,Normal operations
2026-12-01,P15,M03,92,100,319,105,0,324,11,Normal operations
2026-12-01,P17,M05,79,84,226,61,0,203,22,Normal operations
2026-12-01,P20,M02,341,352,1062,396,0,1106,18,Normal operations
2026-12-01,P22,M04,227,199,774,233,0,808,18,Normal operations
